paper_ref,question_number,sub_part_label,max_marks,topic_name
9709_11_MJ_2025,1,,4,Trigonometry
9709_11_MJ_2025,2,a,2,Differentiation
9709_11_MJ_2025,2,b,4,Integration
9709_11_MJ_2025,3,a,5,Series
9709_11_MJ_2025,3,b,2,Series
9709_11_MJ_2025,4,,5,Integration
9709_11_MJ_2025,5,a(i),2,Series
9709_11_MJ_2025,5,a(ii),2,Series
9709_11_MJ_2025,5,b,3,Series
9709_11_MJ_2025,6,a,4,Quadratics
9709_11_MJ_2025,6,b,5,Quadratics
9709_11_MJ_2025,7,a,4,Differentiation
9709_11_MJ_2025,7,b,5,Differentiation
9709_11_MJ_2025,8,,8,Coordinate Geometry
9709_11_MJ_2025,9,a,4,Circular Measure
9709_11_MJ_2025,9,b,4,Circular Measure
9709_11_MJ_2025,10,a,5,Functions
9709_11_MJ_2025,10,b,2,Functions
9709_11_MJ_2025,10,c,2,Functions
9709_11_MJ_2025,10,d,1,Functions
9709_11_MJ_2025,10,e,1,Functions
9709_11_MJ_2025,10,f,1,Functions
